"pid","student_type","cohort","time_status","college_of_major","college_recoded","dept_code","dept_of_major","dept_recoded","major_code","major","ending_coll_code","ending_coll_desc","ending_college_recoded","ending_dept_code","ending_dept_desc","ending_dept_recoded","ending_major_code","ending_major_desc","sex","first_gen_status","race_ethnicity","term_gpa","gpa_bucketed","pell_term","efc","efc_bucketed","start","201350","201430","201440","201450","201530","201540","201550","201630","201640","201650","201730","201740","201750","201830","201840","201850","201930","201940","201950","202030","202040","202050","202130","202140","202150","202230"
43414,"trans",201350,"UG Part-Time","College Letters Arts Sciences","College Letters Arts Sciences","UND","Undeclared","Undeclared","UND","Undeclared","LA","College Letters Arts Sciences","College Letters Arts Sciences","UND","Undeclared","Undeclared","UND","Undeclared","M","1GX","White",3.67,"2.0+","Not Pell Eligible",NA,"Unknown EFC","Starting Cohort","Sophomore","Sophomore","Sophomore","Dropped Out","Dropped Out","Dropped Out","Dropped Out","Dropped Out","Dropped Out","Dropped Out","Dropped Out","Dropped Out","Dropped Out","Dropped Out","Dropped Out","Dropped Out","Dropped Out","Dropped Out","Dropped Out","Dropped Out","Dropped Out","Dropped Out","Dropped Out","Dropped Out","Dropped Out","Dropped Out"
63951,"trans",201350,"UG Part-Time","College of Business","College of Business","MGT","Management","Management","MGT","Management","BU","College of Business","College of Business","MGT","Management","Management","MGT","Management","F","1GY","White",3.34,"2.0+","Pell Eligible",0,"$0 - $3600","Starting Cohort","Freshman","Dropped Out","Dropped Out","Dropped Out","Dropped Out","Dropped Out","Dropped Out","Dropped Out","Dropped Out","Dropped Out","Dropped Out","Dropped Out","Dropped Out","Dropped Out","Dropped Out","Dropped Out","Dropped Out","Dropped Out","Dropped Out","Dropped Out","Dropped Out","Dropped Out","Dropped Out","Dropped Out","Dropped Out","Dropped Out"
105875,"trans",201350,"UG Full-Time","College Letters Arts Sciences","College Letters Arts Sciences","UND","Undeclared","Undeclared","UND","Undeclared","LA","College Letters Arts Sciences","College Letters Arts Sciences","UND","Undeclared","Undeclared","UND","Undeclared","M","1GY","Hispanic",2.42,"2.0+","Not Pell Eligible",NA,"Unknown EFC","Starting Cohort","Freshman","Freshman","Hiatus","Hiatus","Freshman","Freshman","Transferred Out","Dropped Out","Dropped Out","Dropped Out","Dropped Out","Dropped Out","Dropped Out","Dropped Out","Dropped Out","Dropped Out","Dropped Out","Dropped Out","Dropped Out","Dropped Out","Dropped Out","Dropped Out","Dropped Out","Dropped Out","Dropped Out","Dropped Out"
193907,"trans",201350,"UG Full-Time","College Professional Studies","College Health Applied Science","AVS","Aviation & Aerospace Science","Aviation & Aerospace Science","ASC","Aviation and Aerospace Science","PS","College Professional Studies","College Health Applied Science","AVS","Aviation & Aerospace Science","Aviation & Aerospace Science","ASC","Aviation and Aerospace Science","M","1GN","White",0.25,"0.0 - 2.0","Not Pell Eligible",NA,"Unknown EFC","Starting Cohort","Freshman","Hiatus","Hiatus","Transferred Out","Transferred Out","Transferred Out","Transferred Out","Transferred Out","Transferred Out","Transferred Out","Transferred Out","Transferred Out","Transferred Out","Transferred Out","Transferred Out","Transferred Out","Transferred Out","Transferred Out","Transferred Out","Transferred Out","Transferred Out","Transferred Out","Transferred Out","Transferred Out","Transferred Out","Transferred Out"
204000,"trans",201350,"UG Part-Time","College Letters Arts Sciences","College Letters Arts Sciences","EAS","Earth and Atmospheric Sciences","Earth and Atmospheric Sciences","LUS","Land Use","LA","College Letters Arts Sciences","College Letters Arts Sciences","EAS","Earth and Atmospheric Sciences","Earth and Atmospheric Sciences","LUS","Land Use","M","1GN","White",4,"2.0+","Not Pell Eligible",NA,"Unknown EFC","Starting Cohort","Freshman","Sophomore","Hiatus","Hiatus","Dropped Out","Dropped Out","Dropped Out","Dropped Out","Dropped Out","Dropped Out","Dropped Out","Dropped Out","Dropped Out","Dropped Out","Dropped Out","Dropped Out","Dropped Out","Dropped Out","Dropped Out","Dropped Out","Dropped Out","Dropped Out","Dropped Out","Dropped Out","Dropped Out","Dropped Out"
211939,"trans",201350,"UG Full-Time","College Letters Arts Sciences","College Letters Arts Sciences","PHI","Philosophy","Philosophy","PHI","Philosophy","LA","College Letters Arts Sciences","College Letters Arts Sciences","PHI","Philosophy","Philosophy","PHI","Philosophy","F","1GY","Hispanic",3.58,"2.0+","Pell Eligible",0,"$0 - $3600","Starting Cohort","Dropped Out","Dropped Out","Dropped Out","Dropped Out","Dropped Out","Dropped Out","Dropped Out","Dropped Out","Dropped Out","Dropped Out","Dropped Out","Dropped Out","Dropped Out","Dropped Out","Dropped Out","Dropped Out","Dropped Out","Dropped Out","Dropped Out","Dropped Out","Dropped Out","Dropped Out","Dropped Out","Dropped Out","Dropped Out","Dropped Out"
248090,"trans",201350,"UG Part-Time","College of Business","College of Business","FIN","Finance","Finance","FIN","Finance","BU","College of Business","College of Business","FIN","Finance","Finance","FIN","Finance","F","1GY","White",3.5,"2.0+","Pell Eligible",1324,"$0 - $3600","Starting Cohort","Freshman","Transferred Out","Transferred Out","Dropped Out","Dropped Out","Dropped Out","Dropped Out","Dropped Out","Dropped Out","Dropped Out","Dropped Out","Dropped Out","Dropped Out","Dropped Out","Dropped Out","Dropped Out","Dropped Out","Dropped Out","Dropped Out","Dropped Out","Dropped Out","Dropped Out","Dropped Out","Dropped Out","Dropped Out","Dropped Out"
250995,"trans",201350,"UG Part-Time","College Professional Studies","College Health Applied Science","HEP","Health Professions","Health Professions","ITP","Integrative Therapeutic Pract","LA","College Letters Arts Sciences","College Letters Arts Sciences","SOAN","Sociology and Anthropology","Sociology and Anthropology","ANT","Anthropology","F","1GN","Hispanic",3.33,"2.0+","Pell Eligible",0,"$0 - $3600","Starting Cohort","Freshman","Junior","Junior","Junior","Senior","Senior","Senior","Dropped Out","Dropped Out","Dropped Out","Dropped Out","Dropped Out","Dropped Out","Dropped Out","Dropped Out","Dropped Out","Dropped Out","Dropped Out","Dropped Out","Dropped Out","Dropped Out","Dropped Out","Dropped Out","Dropped Out","Dropped Out","Dropped Out"
252436,"trans",201350,"UG Full-Time","College Letters Arts Sciences","College Letters Arts Sciences","BIO","Biology","Biology","BIO","Biology","LA","College Letters Arts Sciences","College Letters Arts Sciences","BIO","Biology","Biology","BIO","Biology","M","1GY","Two or More Races",0.63,"0.0 - 2.0","Pell Eligible",0,"$0 - $3600","Starting Cohort","Freshman","Junior","Hiatus","Hiatus","Hiatus","Hiatus","Hiatus","Hiatus","Hiatus","Hiatus","Hiatus","Hiatus","Junior","Hiatus","Hiatus","Transferred Out","Transferred Out","Transferred Out","Transferred Out","Transferred Out","Transferred Out","Transferred Out","Transferred Out","Transferred Out","Transferred Out","Transferred Out"
253268,"trans",201350,"UG Full-Time","College of Business","College of Business","CMS","Computer Info Syst & Mgt Sci","Computer Information Systems","CIN","Computer Information Systems","BU","College of Business","College of Business","MGT","Management","Management","MGT","Management","M","1GY","Two or More Races",3.75,"2.0+","Pell Eligible",0,"$0 - $3600","Starting Cohort","Junior","Senior","Senior","Senior","Senior","Senior","Senior","Senior","Senior","Hiatus","Senior","Senior","Senior","Graduated","Graduated","Graduated","Graduated","Graduated","Graduated","Graduated","Graduated","Graduated","Graduated","Graduated","Graduated","Graduated"
257320,"trans",201350,"UG Part-Time","College Professional Studies","College Letters Arts Sciences","JTC","Journalism and Tech Com","Journalism and Tech Com","JRN","Journalism","PS","College Professional Studies","College Health Applied Science","JTC","Journalism and Tech Com","Journalism and Tech Com","TCM","Technical Communications","F","1GY","White",4,"2.0+","Not Pell Eligible",13327,"$3600+","Starting Cohort","Freshman","Junior","Junior","Junior","Junior","Junior","Senior","Senior","Senior","Graduated","Graduated","Graduated","Graduated","Graduated","Graduated","Graduated","Graduated","Graduated","Graduated","Graduated","Graduated","Graduated","Graduated","Graduated","Graduated","Graduated"
257663,"trans",201350,"UG Part-Time","College of Business","College of Business","CMS","Computer Info Syst & Mgt Sci","Computer Information Systems","CIN","Computer Information Systems","BU","College of Business","College of Business","CMS","Computer Info Syst & Mgt Sci","Computer Information Systems","CIN","Computer Information Systems","M","1GY","White",3.5,"2.0+","Not Pell Eligible",16283,"$3600+","Starting Cohort","Freshman","Sophomore","Sophomore","Dropped Out","Dropped Out","Dropped Out","Dropped Out","Dropped Out","Dropped Out","Dropped Out","Dropped Out","Dropped Out","Dropped Out","Dropped Out","Dropped Out","Dropped Out","Dropped Out","Dropped Out","Dropped Out","Dropped Out","Dropped Out","Dropped Out","Dropped Out","Dropped Out","Dropped Out","Dropped Out"
300680,"trans",201350,"UG Part-Time","College Professional Studies","College Health Applied Science","HEP","Health Professions","Health Professions","HCM","Health Care Management","PS","College Professional Studies","College Health Applied Science","HEP","Health Professions","Health Professions","HCM","Health Care Management","F","1GY","Hispanic",4,"2.0+","Not Pell Eligible",26343,"$3600+","Starting Cohort","Freshman","Junior","Junior","Transferred Out","Transferred Out","Transferred Out","Transferred Out","Transferred Out","Transferred Out","Transferred Out","Transferred Out","Transferred Out","Transferred Out","Transferred Out","Transferred Out","Transferred Out","Transferred Out","Transferred Out","Transferred Out","Transferred Out","Transferred Out","Transferred Out","Transferred Out","Transferred Out","Transferred Out","Transferred Out"
308576,"trans",201350,"UG Full-Time","College Letters Arts Sciences","College Letters Arts Sciences","MDL","Modern Languages","Modern Languages","MDL","Modern Languages","LA","College Letters Arts Sciences","College Letters Arts Sciences","MDL","Modern Languages","Modern Languages","MDL","Modern Languages","F","1GY","Hispanic",3.33,"2.0+","Not Pell Eligible",32680,"$3600+","Starting Cohort","Freshman","Junior","Junior","Junior","Senior","Senior","Senior","Graduated","Graduated","Graduated","Graduated","Graduated","Graduated","Graduated","Graduated","Graduated","Graduated","Graduated","Graduated","Graduated","Graduated","Graduated","Graduated","Graduated","Graduated","Graduated"
311099,"trans",201350,"UG Full-Time","College of Business","College of Business","CMS","Computer Info Syst & Mgt Sci","Computer Information Systems","CIN","Computer Information Systems","PS","College Professional Studies","College Health Applied Science","CJC","Criminal Justice & Criminology","Criminal Justice & Criminology","CJC","Criminal Justice & Criminology","M","1GY","White",3.44,"2.0+","Pell Eligible",2787,"$0 - $3600","Starting Cohort","Freshman","Sophomore","Sophomore","Junior","Junior","Junior","Senior","Senior","Senior","Senior","Senior","Senior","Senior","Senior","Senior","Dropped Out","Dropped Out","Dropped Out","Dropped Out","Dropped Out","Dropped Out","Dropped Out","Dropped Out","Dropped Out","Dropped Out","Dropped Out"
