pid,START,Fall 2011,Spring 2012,Summer 2012,Fall 2012,Spring 2013,Summer 2013,Fall 2013,Spring 2014,Summer 2014,Fall 2014,Spring 2015,Summer 2015,Fall 2015,Spring 2016,Summer 2016,Fall 2016,Spring 2017,Summer 2017,Fall 2017,Spring 2018,Summer 2018,Fall 2018,Spring 2019,Summer 2019,Fall 2019,Spring 2020,Summer 2020,Fall 2020,Spring 2021,Summer 2021
94308,START,FR,FR,FR,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO
252775,START,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO
260370,START,FR,FR,FR,FR,SA,SA,SA,SA,SA,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO
305826,START,FR,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO
316154,START,FR,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO
345391,START,FR,FR,FR,FR,SO,SO,SO,JU,JU,JU,SR,SR,SR,SR,GR,GR,GR,GR,GR,GR,GR,GR,GR,GR,GR,GR,GR,GR,GR,GR
373354,START,FR,FR,SA,SA,SA,SA,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO
379983,START,FR,FR,FR,SO,SO,SO,SO,SO,SO,SO,TO,TO,TO,TO,TO,SO,JU,JU,JU,JU,JU,JU,SR,SR,SR,SR,SR,SR,SA,SA
398271,START,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO
403815,START,FR,FR,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,TO,TO,TO
404408,START,FR,FR,SO,SO,SO,JU,JU,JU,JU,SR,SR,SR,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO
409852,START,FR,SO,SO,SO,JU,JU,JU,SR,SR,SR,GR,GR,GR,GR,GR,GR,GR,GR,GR,GR,GR,GR,GR,GR,GR,GR,GR,GR,GR,GR
439544,START,FR,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO
462729,START,FR,FR,FR,SO,SO,SO,JU,JU,SR,SR,SR,SA,SA,GR,GR,GR,GR,GR,GR,GR,GR,GR,GR,GR,GR,GR,GR,GR,GR,GR
486653,START,FR,FR,FR,SO,SO,SO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO
502530,START,FR,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO
524081,START,FR,FR,FR,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO
529524,START,FR,SA,FR,FR,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO
532673,START,FR,FR,FR,FR,SO,SO,SO,SO,SO,SO,JU,JU,JU,JU,JU,SR,SR,SR,GR,GR,GR,GR,GR,GR,GR,GR,GR,GR,GR,GR
566964,START,FR,FR,FR,SA,SA,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO
567666,START,FR,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO
629512,START,FR,FR,SO,SO,SO,SA,SA,SA,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO
638564,START,FR,FR,FR,FR,SO,SO,SO,JU,JU,JU,SR,SR,SA,SR,SR,SR,SR,GR,GR,GR,GR,GR,GR,GR,GR,GR,GR,GR,GR,GR
639891,START,FR,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO
641472,START,FR,FR,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO
643321,START,FR,FR,FR,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO
647582,START,FR,FR,FR,FR,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO
