pid	term	grp	duration
94308	start	Starting Cohort	1
94308	201150	Freshman	1
94308	201230	Freshman	1
94308	201240	Freshman	1
94308	201250	Transferred Out	1
94308	201330	Transferred Out	1
94308	201340	Transferred Out	1
94308	201350	Transferred Out	1
94308	201430	Transferred Out	1
94308	201440	Transferred Out	1
94308	201450	Transferred Out	1
94308	201530	Transferred Out	1
94308	201540	Transferred Out	1
94308	201550	Transferred Out	1
94308	201630	Transferred Out	1
94308	201640	Transferred Out	1
94308	201650	Transferred Out	1
94308	201730	Transferred Out	1
94308	201740	Transferred Out	1
94308	201750	Transferred Out	1
94308	201830	Transferred Out	1
94308	201840	Transferred Out	1
94308	201850	Transferred Out	1
94308	201930	Transferred Out	1
94308	201940	Transferred Out	1
94308	201950	Transferred Out	1
94308	202030	Transferred Out	1
94308	202040	Transferred Out	1
94308	202050	Transferred Out	1
94308	202130	Transferred Out	1
94308	202140	Transferred Out	1
252775	start	Starting Cohort	1
252775	201150	Dropped Out	1
252775	201230	Dropped Out	1
252775	201240	Dropped Out	1
252775	201250	Dropped Out	1
252775	201330	Dropped Out	1
252775	201340	Dropped Out	1
252775	201350	Dropped Out	1
252775	201430	Dropped Out	1
252775	201440	Dropped Out	1
252775	201450	Dropped Out	1
252775	201530	Dropped Out	1
252775	201540	Dropped Out	1
252775	201550	Dropped Out	1
252775	201630	Dropped Out	1
252775	201640	Dropped Out	1
252775	201650	Dropped Out	1
252775	201730	Dropped Out	1
252775	201740	Dropped Out	1
252775	201750	Dropped Out	1
252775	201830	Dropped Out	1
252775	201840	Dropped Out	1
252775	201850	Dropped Out	1
252775	201930	Dropped Out	1
252775	201940	Dropped Out	1
252775	201950	Dropped Out	1
252775	202030	Dropped Out	1
252775	202040	Dropped Out	1
252775	202050	Dropped Out	1
252775	202130	Dropped Out	1
252775	202140	Dropped Out	1
260370	start	Starting Cohort	1
260370	201150	Freshman	1
260370	201230	Freshman	1
260370	201240	Freshman	1
260370	201250	Freshman	1
260370	201330	Sabbatical	1
260370	201340	Sabbatical	1
260370	201350	Sabbatical	1
260370	201430	Sabbatical	1
260370	201440	Sabbatical	1
260370	201450	Transferred Out	1
260370	201530	Transferred Out	1
260370	201540	Transferred Out	1
260370	201550	Transferred Out	1
260370	201630	Transferred Out	1
260370	201640	Transferred Out	1
260370	201650	Transferred Out	1
260370	201730	Transferred Out	1
260370	201740	Transferred Out	1
260370	201750	Transferred Out	1
260370	201830	Transferred Out	1
260370	201840	Transferred Out	1
260370	201850	Transferred Out	1
260370	201930	Transferred Out	1
260370	201940	Transferred Out	1
260370	201950	Transferred Out	1
260370	202030	Transferred Out	1
260370	202040	Transferred Out	1
260370	202050	Transferred Out	1
260370	202130	Transferred Out	1
260370	202140	Transferred Out	1
305826	start	Starting Cohort	1
305826	201150	Freshman	1
305826	201230	Dropped Out	1
305826	201240	Dropped Out	1
305826	201250	Dropped Out	1
305826	201330	Dropped Out	1
305826	201340	Dropped Out	1
305826	201350	Dropped Out	1
305826	201430	Dropped Out	1
305826	201440	Dropped Out	1
305826	201450	Dropped Out	1
305826	201530	Dropped Out	1
305826	201540	Dropped Out	1
305826	201550	Dropped Out	1
305826	201630	Dropped Out	1
305826	201640	Dropped Out	1
305826	201650	Dropped Out	1
305826	201730	Dropped Out	1
305826	201740	Dropped Out	1
305826	201750	Dropped Out	1
305826	201830	Dropped Out	1
305826	201840	Dropped Out	1
305826	201850	Dropped Out	1
305826	201930	Dropped Out	1
305826	201940	Dropped Out	1
305826	201950	Dropped Out	1
305826	202030	Dropped Out	1
305826	202040	Dropped Out	1
305826	202050	Dropped Out	1
305826	202130	Dropped Out	1
305826	202140	Dropped Out	1
316154	start	Starting Cohort	1
316154	201150	Freshman	1
316154	201230	Dropped Out	1
316154	201240	Dropped Out	1
316154	201250	Dropped Out	1
316154	201330	Dropped Out	1
316154	201340	Dropped Out	1
316154	201350	Dropped Out	1
316154	201430	Dropped Out	1
316154	201440	Dropped Out	1
316154	201450	Dropped Out	1
316154	201530	Dropped Out	1
316154	201540	Dropped Out	1
316154	201550	Dropped Out	1
316154	201630	Dropped Out	1
316154	201640	Dropped Out	1
316154	201650	Dropped Out	1
316154	201730	Dropped Out	1
316154	201740	Dropped Out	1
316154	201750	Dropped Out	1
316154	201830	Dropped Out	1
316154	201840	Dropped Out	1
316154	201850	Dropped Out	1
316154	201930	Dropped Out	1
316154	201940	Dropped Out	1
316154	201950	Dropped Out	1
316154	202030	Dropped Out	1
316154	202040	Dropped Out	1
316154	202050	Dropped Out	1
316154	202130	Dropped Out	1
316154	202140	Dropped Out	1
345391	start	Starting Cohort	1
345391	201150	Freshman	1
345391	201230	Freshman	1
345391	201240	Freshman	1
345391	201250	Freshman	1
345391	201330	Freshman	1
345391	201340	Freshman	1
345391	201350	Sophomore	1
345391	201430	Sophomore	1
345391	201440	Sophomore	1
345391	201450	Junior	1
345391	201530	Junior	1
345391	201540	Junior	1
345391	201550	Senior	1
345391	201630	Senior	1
345391	201640	Graduated	1
345391	201650	Graduated	1
345391	201730	Graduated	1
345391	201740	Graduated	1
345391	201750	Graduated	1
345391	201830	Graduated	1
345391	201840	Graduated	1
345391	201850	Graduated	1
345391	201930	Graduated	1
345391	201940	Graduated	1
345391	201950	Graduated	1
345391	202030	Graduated	1
345391	202040	Graduated	1
345391	202050	Graduated	1
345391	202130	Graduated	1
345391	202140	Graduated	1
373354	start	Starting Cohort	1
373354	201150	Freshman	1
373354	201230	Freshman	1
373354	201240	Sabbatical	1
373354	201250	Sabbatical	1
373354	201330	Sabbatical	1
373354	201340	Sabbatical	1
373354	201350	Transferred Out	1
373354	201430	Transferred Out	1
373354	201440	Transferred Out	1
373354	201450	Transferred Out	1
373354	201530	Transferred Out	1
373354	201540	Transferred Out	1
373354	201550	Transferred Out	1
373354	201630	Transferred Out	1
373354	201640	Transferred Out	1
373354	201650	Transferred Out	1
373354	201730	Transferred Out	1
373354	201740	Transferred Out	1
373354	201750	Transferred Out	1
373354	201830	Transferred Out	1
373354	201840	Transferred Out	1
373354	201850	Transferred Out	1
373354	201930	Transferred Out	1
373354	201940	Transferred Out	1
373354	201950	Transferred Out	1
373354	202030	Transferred Out	1
373354	202040	Transferred Out	1
373354	202050	Transferred Out	1
373354	202130	Transferred Out	1
373354	202140	Transferred Out	1
379983	start	Starting Cohort	1
379983	201150	Freshman	1
379983	201230	Freshman	1
379983	201240	Freshman	1
379983	201250	Freshman	1
379983	201330	Sophomore	1
379983	201340	Sophomore	1
379983	201350	Sophomore	1
379983	201430	Sophomore	1
379983	201440	Sophomore	1
379983	201450	Sophomore	1
379983	201530	Transferred Out	1
379983	201540	Transferred Out	1
379983	201550	Transferred Out	1
379983	201630	Transferred Out	1
379983	201640	Transferred Out	1
379983	201650	Sophomore	1
379983	201730	Sophomore	1
379983	201740	Sophomore	1
379983	201750	Junior	1
379983	201830	Junior	1
379983	201840	Junior	1
379983	201850	Junior	1
379983	201930	Junior	1
379983	201940	Junior	1
379983	201950	Senior	1
379983	202030	Senior	1
379983	202040	Senior	1
379983	202050	Senior	1
379983	202130	Sabbatical	1
379983	202140	Sabbatical	1
398271	start	Starting Cohort	1
398271	201150	Dropped Out	1
398271	201230	Dropped Out	1
398271	201240	Dropped Out	1
398271	201250	Dropped Out	1
398271	201330	Dropped Out	1
398271	201340	Dropped Out	1
398271	201350	Dropped Out	1
398271	201430	Dropped Out	1
398271	201440	Dropped Out	1
