pid	term	grp	duration
8506	start	Starting Cohort	1
8506	201150	Freshman	1
8506	201230	Transferred Out	1
8506	201240	Junior	1
8506	201250	Sabbatical	1
8506	201330	Sabbatical	1
8506	201340	Sabbatical	1
8506	201350	Sabbatical	1
8506	201430	Sabbatical	1
8506	201440	Sabbatical	1
8506	201450	Sabbatical	1
8506	201530	Sabbatical	1
8506	201540	Sabbatical	1
8506	201550	Sabbatical	1
8506	201630	Sabbatical	1
8506	201640	Sabbatical	1
8506	201650	Sabbatical	1
8506	201730	Sabbatical	1
8506	201740	Sabbatical	1
8506	201750	Sabbatical	1
8506	201830	Sabbatical	1
8506	201840	Sabbatical	1
8506	201850	Sabbatical	1
8506	201930	Sabbatical	1
8506	201940	Sabbatical	1
8506	201950	Sabbatical	1
8506	202030	Sabbatical	1
8506	202040	Sabbatical	1
8506	202050	Sabbatical	1
8506	202130	Sabbatical	1
8506	202140	Sabbatical	1
92733	start	Starting Cohort	1
92733	201150	Freshman	1
92733	201230	Sophomore	1
92733	201240	Junior	1
92733	201250	Junior	1
92733	201330	Senior	1
92733	201340	Senior	1
92733	201350	Graduated	1
92733	201430	Graduated	1
92733	201440	Graduated	1
92733	201450	Graduated	1
92733	201530	Graduated	1
92733	201540	Graduated	1
92733	201550	Graduated	1
92733	201630	Graduated	1
92733	201640	Graduated	1
92733	201650	Graduated	1
92733	201730	Graduated	1
92733	201740	Graduated	1
92733	201750	Graduated	1
92733	201830	Graduated	1
92733	201840	Graduated	1
92733	201850	Graduated	1
92733	201930	Graduated	1
92733	201940	Graduated	1
92733	201950	Graduated	1
92733	202030	Graduated	1
92733	202040	Graduated	1
92733	202050	Graduated	1
92733	202130	Graduated	1
92733	202140	Graduated	1
120781	start	Starting Cohort	1
120781	201150	Junior	1
120781	201230	Dropped Out	1
120781	201240	Dropped Out	1
120781	201250	Dropped Out	1
120781	201330	Dropped Out	1
120781	201340	Dropped Out	1
120781	201350	Dropped Out	1
120781	201430	Dropped Out	1
120781	201440	Dropped Out	1
120781	201450	Dropped Out	1
120781	201530	Dropped Out	1
120781	201540	Dropped Out	1
120781	201550	Dropped Out	1
120781	201630	Dropped Out	1
120781	201640	Dropped Out	1
120781	201650	Dropped Out	1
120781	201730	Dropped Out	1
120781	201740	Dropped Out	1
120781	201750	Dropped Out	1
120781	201830	Dropped Out	1
120781	201840	Dropped Out	1
120781	201850	Dropped Out	1
120781	201930	Dropped Out	1
120781	201940	Dropped Out	1
120781	201950	Dropped Out	1
120781	202030	Dropped Out	1
120781	202040	Dropped Out	1
120781	202050	Dropped Out	1
120781	202130	Dropped Out	1
120781	202140	Dropped Out	1
127991	start	Starting Cohort	1
127991	201150	Senior	1
127991	201230	Senior	1
127991	201240	Graduated	1
127991	201250	Graduated	1
127991	201330	Graduated	1
127991	201340	Graduated	1
127991	201350	Graduated	1
127991	201430	Graduated	1
127991	201440	Graduated	1
127991	201450	Graduated	1
127991	201530	Graduated	1
127991	201540	Graduated	1
127991	201550	Graduated	1
127991	201630	Graduated	1
127991	201640	Graduated	1
127991	201650	Graduated	1
127991	201730	Graduated	1
127991	201740	Graduated	1
127991	201750	Graduated	1
127991	201830	Graduated	1
127991	201840	Graduated	1
127991	201850	Graduated	1
127991	201930	Graduated	1
127991	201940	Graduated	1
127991	201950	Graduated	1
127991	202030	Graduated	1
127991	202040	Graduated	1
127991	202050	Graduated	1
127991	202130	Graduated	1
127991	202140	Graduated	1
156891	start	Starting Cohort	1
156891	201150	Freshman	1
156891	201230	Sabbatical	1
156891	201240	Sabbatical	1
156891	201250	Transferred Out	1
156891	201330	Transferred Out	1
156891	201340	Transferred Out	1
156891	201350	Transferred Out	1
156891	201430	Transferred Out	1
156891	201440	Transferred Out	1
156891	201450	Transferred Out	1
156891	201530	Junior	1
156891	201540	Junior	1
156891	201550	Junior	1
156891	201630	Sabbatical	1
156891	201640	Sabbatical	1
156891	201650	Junior	1
156891	201730	Sabbatical	1
156891	201740	Sabbatical	1
156891	201750	Dropped Out	1
156891	201830	Dropped Out	1
156891	201840	Dropped Out	1
156891	201850	Dropped Out	1
156891	201930	Dropped Out	1
156891	201940	Dropped Out	1
156891	201950	Dropped Out	1
156891	202030	Dropped Out	1
156891	202040	Dropped Out	1
156891	202050	Dropped Out	1
156891	202130	Dropped Out	1
156891	202140	Dropped Out	1
169767	start	Starting Cohort	1
169767	201150	Freshman	1
169767	201230	Sophomore	1
169767	201240	Sophomore	1
169767	201250	Junior	1
169767	201330	Junior	1
169767	201340	Junior	1
169767	201350	Senior	1
169767	201430	Senior	1
169767	201440	Senior	1
169767	201450	Senior	1
169767	201530	Graduated	1
169767	201540	Graduated	1
169767	201550	Graduated	1
169767	201630	Graduated	1
169767	201640	Graduated	1
169767	201650	Graduated	1
169767	201730	Graduated	1
169767	201740	Graduated	1
169767	201750	Graduated	1
169767	201830	Graduated	1
169767	201840	Graduated	1
169767	201850	Graduated	1
169767	201930	Graduated	1
169767	201940	Graduated	1
169767	201950	Graduated	1
169767	202030	Graduated	1
169767	202040	Graduated	1
169767	202050	Graduated	1
169767	202130	Graduated	1
169767	202140	Graduated	1
184688	start	Starting Cohort	1
184688	201150	Sophomore	1
184688	201230	Sabbatical	1
184688	201240	Transferred Out	1
184688	201250	Transferred Out	1
184688	201330	Transferred Out	1
184688	201340	Transferred Out	1
184688	201350	Transferred Out	1
184688	201430	Transferred Out	1
184688	201440	Transferred Out	1
184688	201450	Transferred Out	1
184688	201530	Transferred Out	1
184688	201540	Transferred Out	1
184688	201550	Transferred Out	1
184688	201630	Transferred Out	1
184688	201640	Transferred Out	1
184688	201650	Transferred Out	1
184688	201730	Transferred Out	1
184688	201740	Transferred Out	1
184688	201750	Transferred Out	1
184688	201830	Transferred Out	1
184688	201840	Transferred Out	1
184688	201850	Transferred Out	1
184688	201930	Transferred Out	1
184688	201940	Transferred Out	1
184688	201950	Transferred Out	1
184688	202030	Transferred Out	1
184688	202040	Transferred Out	1
184688	202050	Transferred Out	1
184688	202130	Transferred Out	1
184688	202140	Transferred Out	1
203554	start	Starting Cohort	1
203554	201150	Freshman	1
203554	201230	Senior	1
203554	201240	Senior	1
203554	201250	Senior	1
203554	201330	Senior	1
203554	201340	Senior	1
203554	201350	Senior	1
203554	201430	Senior	1
203554	201440	Sabbatical	1
203554	201450	Sabbatical	1
203554	201530	Senior	1
203554	201540	Senior	1
203554	201550	Senior	1
203554	201630	Senior	1
203554	201640	Senior	1
203554	201650	Senior	1
203554	201730	Senior	1
203554	201740	Senior	1
203554	201750	Senior	1
203554	201830	Senior	1
203554	201840	Senior	1
203554	201850	Sabbatical	1
203554	201930	Senior	1
203554	201940	Senior	1
203554	201950	Senior	1
203554	202030	Dropped Out	1
203554	202040	Dropped Out	1
203554	202050	Dropped Out	1
203554	202130	Dropped Out	1
203554	202140	Dropped Out	1
204155	start	Starting Cohort	1
204155	201150	Freshman	1
204155	201230	Freshman	1
204155	201240	Freshman	1
204155	201250	Freshman	1
204155	201330	Sophomore	1
204155	201340	Sophomore	1
204155	201350	Sophomore	1
204155	201430	Sophomore	1
204155	201440	Sophomore	1
204155	201450	Sophomore	1
204155	201530	Junior	1
204155	201540	Junior	1
204155	201550	Junior	1
204155	201630	Junior	1
204155	201640	Junior	1
204155	201650	Junior	1
204155	201730	Junior	1
204155	201740	Junior	1
204155	201750	Senior	1
204155	201830	Senior	1
204155	201840	Senior	1
204155	201850	Senior	1
204155	201930	Senior	1
204155	201940	Senior	1
204155	201950	Graduated	1
204155	202030	Graduated	1
204155	202040	Graduated	1
204155	202050	Graduated	1
204155	202130	Graduated	1
204155	202140	Graduated	1
220886	start	Starting Cohort	1
